Date,official_ttc_GAZOLE_eur_liter,official_ttc_SP95_eur_liter,official_ttc_E10_eur_liter,official_ttc_SP98_eur_liter,official_ttc_E85_eur_liter,official_ttc_GPLC_eur_liter,station_ttc_E85_eur_liter,station_ttc_GPLC_eur_liter,station_ttc_GAZOLE_eur_liter,station_ttc_SP95_eur_liter,station_ttc_E10_eur_liter,station_ttc_SP98_eur_liter,Day_of_week
1985-01-04,0.6311,,,,,,,,,,,,Friday
1985-01-11,0.6494,,,,,,,,,,,,Friday
1985-01-18,0.6494,,,,,,,,,,,,Friday
1985-01-25,0.6494,,,,,,,,,,,,Friday
1985-02-01,0.6494,,,,,,,,,,,,Friday
1985-02-08,0.6586,,,,,,,,,,,,Friday
1985-02-15,0.6693,,,,,,,,,,,,Friday
1985-02-22,0.6845,,,,,,,,,,,,Friday
1985-03-01,0.6891,,,,,,,,,,,,Friday
1985-03-08,0.6921,,,,,,,,,,,,Friday
1985-03-15,0.7013,,,,,,,,,,,,Friday
1985-03-22,0.7013,,,,,,,,,,,,Friday
1985-03-29,0.6967,,,,,,,,,,,,Friday
1985-04-05,0.6921,,,,,,,,,,,,Friday
1985-04-12,0.683,,,,,,,,,,,,Friday
1985-04-19,0.6769,,,,,,,,,,,,Friday
1985-04-26,0.6693,,,,,,,,,,,,Friday
1985-05-03,0.6632,,,,,,,,,,,,Friday
1985-05-10,0.6616,,,,,,,,,,,,Friday
1985-05-17,0.6571,,,,,,,,,,,,Friday
1985-05-24,0.654,,,,,,,,,,,,Friday
1985-05-31,0.6525,,,,,,,,,,,,Friday
1985-06-07,0.651,,,,,,,,,,,,Friday
1985-06-14,0.6494,,,,,,,,,,,,Friday
1985-06-21,0.6479,,,,,,,,,,,,Friday
1985-06-28,0.6449,,,,,,,,,,,,Friday
1985-07-05,0.6449,,,,,,,,,,,,Friday
1985-07-12,0.6449,,,,,,,,,,,,Friday
1985-07-19,0.6433,,,,,,,,,,,,Friday
1985-07-26,0.6403,,,,,,,,,,,,Friday
1985-08-02,0.6388,,,,,,,,,,,,Friday
1985-08-09,0.6357,,,,,,,,,,,,Friday
1985-08-16,0.6357,,,,,,,,,,,,Friday
1985-08-23,0.6357,,,,,,,,,,,,Friday
1985-08-30,0.6342,,,,,,,,,,,,Friday
1985-09-06,0.6342,,,,,,,,,,,,Friday
1985-09-13,0.6357,,,,,,,,,,,,Friday
1985-09-20,0.6388,,,,,,,,,,,,Friday
1985-09-27,0.6418,,,,,,,,,,,,Friday
1985-10-04,0.6418,,,,,,,,,,,,Friday
1985-10-11,0.6418,,,,,,,,,,,,Friday
1985-10-18,0.6403,,,,,,,,,,,,Friday
1985-10-25,0.6403,,,,,,,,,,,,Friday
1985-11-01,0.6418,,,,,,,,,,,,Friday
1985-11-08,0.6418,,,,,,,,,,,,Friday
1985-11-15,0.6433,,,,,,,,,,,,Friday
1985-11-22,0.6433,,,,,,,,,,,,Friday
1985-11-29,0.6479,,,,,,,,,,,,Friday
1985-12-06,0.6479,,,,,,,,,,,,Friday
1985-12-13,0.6403,,,,,,,,,,,,Friday
1985-12-20,0.6281,,,,,,,,,,,,Friday
1985-12-27,0.6281,,,,,,,,,,,,Friday
1986-01-03,0.625,,,,,,,,,,,,Friday
1986-01-10,0.6189,,,,,,,,,,,,Friday
1986-01-17,0.6052,,,,,,,,,,,,Friday
1986-01-24,0.5915,,,,,,,,,,,,Friday
1986-01-31,0.5747,,,,,,,,,,,,Friday
1986-02-07,0.558,,,,,,,,,,,,Friday
1986-02-14,0.5473,,,,,,,,,,,,Friday
1986-02-21,0.5427,,,,,,,,,,,,Friday
1986-02-28,0.5427,,,,,,,,,,,,Friday
1986-03-07,0.5427,,,,,,,,,,,,Friday
1986-03-14,0.5427,,,,,,,,,,,,Friday
1986-03-21,0.5412,,,,,,,,,,,,Friday
1986-03-28,0.5366,,,,,,,,,,,,Friday
1986-04-04,0.5351,,,,,,,,,,,,Friday
1986-04-11,0.5366,,,,,,,,,,,,Friday
1986-04-18,0.5519,,,,,,,,,,,,Friday
1986-04-25,0.5503,,,,,,,,,,,,Friday
1986-05-02,0.5473,,,,,,,,,,,,Friday
1986-05-09,0.5473,,,,,,,,,,,,Friday
1986-05-16,0.5442,,,,,,,,,,,,Friday
1986-05-23,0.5442,,,,,,,,,,,,Friday
1986-05-30,0.5427,,,,,,,,,,,,Friday
1986-06-06,0.5427,,,,,,,,,,,,Friday
1986-06-13,0.5381,,,,,,,,,,,,Friday
1986-06-20,0.5366,,,,,,,,,,,,Friday
