Geo Point;Geo Shape;code_insee;commune;pole;existant;hierarchisation;type_reseau;type_amenagement;longueur_m;annee_creation;annee_refection;num_rev
43.589962184411974, 1.3765693378196833;"{""coordinates"": [[[1.376090767154925, 43.58992641668567], [1.377047908484442, 43.58999795213827]]], ""type"": ""MultiLineString""}";31557;Tournefeuille;Ouest;oui;1;RC;bande cyclable;77;2018;0;REV 8 Ouest
43.59162950730258, 1.3860463112630517;"{""coordinates"": [[[1.386696447056011, 43.59187954147929], [1.385396175470092, 43.59137947312587]]], ""type"": ""MultiLineString""}";31555;Toulouse;Ouest;oui;1;RC;bande cyclable;119;2018;0;REV 8 Ouest
43.54598327357576, 1.426955789267919;"{""coordinates"": [[[1.428671107109154, 43.54766242814779], [1.428688083519976, 43.54758945933541], [1.428759277537358, 43.54740456298324], [1.428867227600246, 43.547124469444306], [1.428791669233992, 43.546788933336956], [1.428685097517507, 43.5465260003267], [1.42852147880646, 43.546422505898285], [1.428268328349639, 43.546271850832454], [1.427726412943582, 43.5461301610906], [1.42722629717239, 43.545995143596706], [1.426727114086529, 43.54582350696076], [1.425646033522121, 43.54545230959266], [1.425292897180094, 43.5452957077257], [1.424871652491082, 43.54508112286307], [1.424723350744502, 43.54500557951822], [1.424558302832038, 43.54489648718466], [1.424413530174498, 43.54481514529975], [1.424372442348752, 43.54478100688498], [1.424371244042708, 43.54474588589171]]], ""type"": ""MultiLineString""}";31555;Toulouse;Sud;oui;2;RC;voie verte;536;2016;0;
43.54293153155116, 1.3934038740161043;"{""coordinates"": [[[1.396499020254346, 43.5445507131909], [1.39059528938858, 43.541453972905266], [1.390464757072667, 43.541475785481104], [1.390402595191322, 43.54148136490226], [1.390283041908998, 43.54143780719118]]], ""type"": ""MultiLineString""}";31555;Toulouse;Sud;oui;3;RC;bande cyclable;614;2014;0;
43.579162383219334, 1.4787672377904768;"{""coordinates"": [[[1.476645026292779, 43.57866684482654], [1.480493662475897, 43.57955131450307], [1.480670652457786, 43.57964253475385], [1.480768127848669, 43.57983438907726]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;3;RC;piste cyclable;365;2010;0;
43.599157316979166, 1.4559821654875018;"{""coordinates"": [[[1.456117825719282, 43.599420283716164], [1.455974632560469, 43.599420115625755], [1.45595783104891, 43.599411470393555], [1.455958788389331, 43.59934619460566], [1.455975666214036, 43.59899625959305], [1.455981591791645, 43.598947106741264], [1.455992380880665, 43.598921646404676], [1.455987728441329, 43.59888471066154], [1.455963743092147, 43.59883343339335], [1.45594918687546, 43.59880703672276], [1.455929148191576, 43.598787786689]]], ""type"": ""MultiLineString""}";31555;Toulouse;Centre;oui;3;RC;piste cyclable;84;2011;0;
43.60519169450149, 1.4793258366572244;"{""coordinates"": [[[1.479972788896231, 43.60536138656707], [1.479372771714261, 43.60516572925147], [1.478664273461352, 43.605090350106806]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;non;2;RC;piste cyclable;111;0;0;
43.595010312442945, 1.452930326556149;"{""coordinates"": [[[1.451405883906823, 43.59525016732923], [1.451617813124997, 43.59508279367155], [1.451983560807466, 43.59486881139559], [1.452383063467208, 43.594736241834035], [1.453031275410609, 43.59474130277326], [1.453497570581365, 43.594869996865846], [1.45375492474824, 43.59501761658722], [1.453990205638995, 43.59530226421938], [1.454050026663248, 43.595482495786975], [1.454068286050623, 43.595574391217596], [1.454061794918345, 43.59583170696936]]], ""type"": ""MultiLineString""}";31555;Toulouse;Centre;oui;1;RC;bande cyclable;314;2023;0;REV 13
43.64534032578681, 1.4530821613584461;"{""coordinates"": [[[1.453026635326378, 43.644430457533836], [1.453044223462367, 43.64454787076884], [1.453077253637507, 43.64536642673798], [1.453101712515471, 43.645740865235766], [1.453118829801045, 43.64589641979411], [1.4531354447369, 43.646250705428095]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;oui;3;RC;piste cyclable;203;0;0;
43.59261264821605, 1.482573457234937;"{""coordinates"": [[[1.482706668968989, 43.59290599120997], [1.48259401429424, 43.592633085316784], [1.482423202783884, 43.59232755104371]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;3;RC;voie verte;68;2011;0;
43.63839695965516, 1.4790781840271716;"{""coordinates"": [[[1.478431011586051, 43.63832281083293], [1.478608430242891, 43.63838715346834], [1.478818782095819, 43.63842867637101], [1.478984932058018, 43.638447864771976], [1.479117544386496, 43.6384316061046], [1.479214296444902, 43.6384173747769], [1.479345794956554, 43.638390100555675], [1.479448372402501, 43.63836344521386], [1.479524919262981, 43.63835869914232], [1.479605448955698, 43.638360258281146], [1.479676026911556, 43.63837418876054], [1.479728425702391, 43.6383988808934]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;3;RC;voie verte;109;2017;0;
43.59231403351727, 1.4533366121098392;"{""coordinates"": [[[1.453101553696849, 43.594037932788595], [1.45357167052283, 43.59059013424595]]], ""type"": ""MultiLineString""}";31555;Toulouse;Centre;oui;2;RC;couloir bus;385;2018;0;
